City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
443,wajir,1.7471,40.0573,82.90400000000005,60,97,9.21,KE,1706648189
444,weno,7.4515,151.8468,80.54600000000005,78,100,4.63,FM,1706648189
445,vila franca do campo,37.7167,-25.4333,61.214000000000034,91,35,1.93,PT,1706648189
446,center,31.5107,-96.4247,75.79400000000007,38,0,3.09,US,1706648189
447,limerick,52.6647,-8.6231,42.74600000000005,76,100,4.65,IE,1706648189
448,crane,31.3974,-102.3501,66.14600000000004,28,46,2.52,US,1706648028
449,tamandare,-8.7597,-35.1047,80.22200000000004,70,23,3.77,BR,1706648189
450,pangkalanbuun,-2.6833,111.6167,74.75,97,100,0.63,ID,1706648076
451,pohang,36.0322,129.365,39.128000000000064,84,100,2.22,KR,1706648190
452,touros,-5.1989,-35.4608,81.842,73,30,6.72,BR,1706648190
453,shimokizukuri,40.8061,140.3861,34.52000000000006,86,100,1.68,JP,1706648190
454,harar,9.3094,42.1258,61.25,80,34,2.34,ET,1706648190
455,mankato,44.1636,-93.9994,38.67800000000007,75,100,5.66,US,1706648191
456,mount pearl,47.5166,-52.7813,21.541999999999994,81,100,7.72,CA,1706648192
457,santa ana,33.7456,-117.8678,81.86000000000008,42,20,4.12,US,1706647916
458,zakynthos,37.7914,20.8953,43.64600000000005,42,0,8.65,GR,1706648192
459,vadso,70.0744,29.7487,39.36200000000006,70,20,15.43,NO,1706648192
460,suva,-18.1416,178.4415,80.07800000000006,94,75,1.54,FJ,1706648021
461,shaowu,27.3409,117.4831,55.63399999999999,99,95,0.92,CN,1706648192
462,ugoofaaru,5.6667,73.0,81.95,73,72,4.44,MV,1706648192
463,wynyard,-41.0,145.7167,60.27800000000006,71,83,3.87,AU,1706648192
464,wotho,10.1657,166.0102,79.55600000000004,78,100,10.32,MH,1706648193
465,yelm,46.942,-122.606,58.56800000000008,95,75,2.57,US,1706648193
466,isangel,-19.55,169.2667,75.308,83,61,0.0,VU,1706647967
467,bonthe,7.5264,-12.505,79.66400000000004,83,12,3.67,SL,1706648193
468,piti village,13.4626,144.6933,79.30400000000006,71,0,6.69,GU,1706648193
469,faranah,10.0404,-10.7434,79.43000000000004,16,18,2.02,GN,1706648193
470,bel ombre,-4.6167,55.4167,82.23800000000006,78,20,1.54,SC,1706648193
471,khanty-mansiysk,61.0042,69.0019,6.908000000000005,78,40,4.02,RU,1706648194
472,ubinskoye,55.3068,79.6802,4.766000000000009,96,100,3.52,RU,1706648194
473,virarajendrapet,12.2,75.8,62.87000000000006,71,80,1.05,IN,1706648194
474,mana,5.6592,-53.7767,81.80600000000004,75,26,4.29,GF,1706648194
475,constantia,44.1833,28.65,25.48399999999999,77,37,4.17,RO,1706648194
476,barra de santo antonio,-9.4047,-35.5072,81.68000000000004,73,0,4.37,BR,1706648195
477,porbandar,21.6422,69.6093,70.484,84,72,4.45,IN,1706648195
478,deqen,29.9618,90.7188,18.554000000000052,66,95,0.68,CN,1706648195
479,hillsborough,37.5741,-122.3794,69.62000000000006,71,99,1.34,US,1706648195
480,umm kaddadah,13.6017,26.6876,61.934,21,80,5.87,SD,1706648195
481,flying fish cove,-10.4217,105.6791,76.6760000000001,94,40,1.54,CX,1706648195
482,buala,-8.145,159.5921,77.46800000000009,89,100,3.76,SB,1706648195
483,orchard homes,46.8633,-114.0484,53.276000000000096,85,100,0.0,US,1706648196
484,chon daen,16.1895,100.8596,70.53800000000004,81,66,1.01,TH,1706648196
485,nar'yan-mar,67.6713,53.087,21.398000000000025,92,73,4.7,RU,1706647977
486,hinesville,31.8469,-81.5959,66.16400000000004,35,0,4.12,US,1706648196
487,newman,37.3138,-121.0208,71.29400000000007,72,94,1.34,US,1706648164
488,kibakwe,-6.7167,36.3667,65.4260000000001,96,100,0.71,TZ,1706648196
489,yilan,24.757,121.753,68.01800000000009,94,18,0.76,TW,1706648196
490,mpophomeni,-29.5682,30.1862,65.10200000000009,95,99,1.01,ZA,1706648196
491,villa angela,-27.5738,-60.7153,99.33800000000005,21,0,2.56,AR,1706648196
492,sanctuary point,-35.1114,150.629,70.32200000000003,92,100,3.9,AU,1706648197
493,kas,36.2018,29.6377,46.05800000000001,73,86,2.13,TR,1706648197
494,ajdabiya,30.7554,20.2263,47.174000000000014,75,6,7.35,LY,1706648197
495,ocean shores,46.9737,-124.1563,57.938000000000045,91,100,5.14,US,1706648197
496,upata,8.0086,-62.3989,89.18600000000006,44,99,2.43,VE,1706648197
497,kulu,39.0951,33.0799,27.80600000000003,75,50,8.64,TR,1706648198
498,altay,47.8667,88.1167,8.888000000000044,72,100,1.8,CN,1706648017
499,hovd,48.0056,91.6419,-7.9059999999999775,96,92,0.19,MN,1706648198
500,qarqaraly,49.4058,75.4742,6.83600000000007,95,100,3.5,KZ,1706648198
501,san carlos del zulia,9.0,-71.9135,92.93000000000004,46,57,5.82,VE,1706648198
502,maracas,-13.4411,-40.4308,73.99400000000009,60,4,1.9,BR,1706648127
503,zhangye,38.9342,100.4517,23.19800000000002,38,100,0.76,CN,1706648199
504,ettlingen,48.9409,8.4076,49.80200000000008,84,78,1.93,DE,1706648199
505,nikol'sk,53.7189,46.0712,22.568000000000083,95,88,3.96,RU,1706648199
506,seme,15.1942,-12.9448,79.77200000000005,11,81,4.37,SN,1706648199
507,howard springs,-12.497,131.047,80.51000000000008,96,76,2.46,AU,1706648199
508,sangueya,10.7,-14.3667,74.858,73,77,1.87,GN,1706648199
509,cole harbour,44.6724,-63.4751,24.278000000000066,71,75,5.66,CA,1706647949
510,abancay,-13.6339,-72.8814,73.74199999999999,59,100,3.17,PE,1706648200
511,mata-utu,-13.2816,-176.1745,84.39800000000002,80,99,6.14,WF,1706648200
512,half moon bay,37.4636,-122.4286,70.10600000000002,71,100,0.45,US,1706647973
513,salamanca,40.8333,-6.0,45.98600000000007,70,87,2.34,ES,1706648203
514,letpandan,17.7833,95.75,64.99400000000009,45,0,2.74,MM,1706648203
515,olyokminsk,60.3736,120.4264,-38.77599999999994,100,52,1.32,RU,1706648204
516,ciudad bolivar,8.1222,-63.5497,96.0260000000001,34,99,4.75,VE,1706648204
517,freetown,8.484,-13.2299,83.91200000000006,74,3,4.63,SL,1706648204
518,la sarre,48.8002,-79.1996,31.172000000000036,91,100,4.41,CA,1706648003
519,arkalyk,50.2486,66.9114,13.01000000000008,93,100,2.48,KZ,1706648204
520,sittwe,20.15,92.9,62.096000000000046,63,10,2.68,MM,1706648047
521,port isabel,26.0734,-97.2086,73.43600000000006,67,0,4.63,US,1706648101
522,zarichne,51.8126,26.129,30.812000000000058,81,89,2.9,UA,1706648204
523,ambon,-3.6954,128.1814,80.07800000000006,14,40,2.57,ID,1706648206
524,viedma,-40.8135,-62.9967,89.54600000000005,34,73,6.36,AR,1706648206
525,hamada,34.8833,132.0833,45.23000000000004,70,99,0.93,JP,1706648206
526,envira,-7.3,-70.2167,82.92200000000004,88,100,0.17,BR,1706648053
527,antigonish,45.6169,-61.9986,24.278000000000066,77,51,2.24,CA,1706648206
